id,Chinese,English,Status
7464,睪,,1
7465,砲,,1
7466,稅,,1
7467,翫,,1
7468,荅,,1
7469,菉,,1
7470,袚,,1
7471,褋,,1
7472,贠,,1
7473,跡,,1
7474,踦,,1
7475,遯,,1
7476,鉅,,1
7477,鎌,,1
7478,靉,,1
7479,韲,,1
7480,餖,,1
7481,鶺,,1
7482,麕,,1
7483,瞼,,1
7484,菵,,1
7485,蟭,,1
7486,錏,,1
7487,踐,,1
7488,輾,,1
7489,銷,,1
7490,閣,,1
7491,頁,,1
7492,驟,,1
7493,碼,,1
7494,禎,,1
7495,禦,,1
7496,稖,,1
7497,稟,,1
7498,竇,,1
7499,笇,,1
7500,篂,,1
7501,緛,,1
7502,編,,1
7503,縿,,1
7504,舊,,1
7505,蓴,,1
7506,蕚,,1
7507,蘆,,1
7508,蝿,,1
7509,袃,,1
7510,親,,1
7511,訴,,1
7512,讕,,1
7513,讚,,1
7514,財,,1
7515,贏,,1
7516,軅,,1
7517,軓,,1
7518,釙,,1
7519,鉄,,1
7520,錆,,1
7521,閶,,1
7522,鯕,,1
7523,鶕,,1
7524,麨,,1
7525,,,1
7526,,,1
7527,脭,,1
7528,鲯,,1
7529,鐏,,1
7530,魾,,1
7531,眎,,1
7532,睞,,1
7533,窋,,1
7534,籠,,1
7535,綠,,1
7536,縡,,1
7537,縫,,1
7538,肅,,1
7539,鉏,,1
7540,謦,,1
7541,麹,,1
7542,蔔,,1
7543,繐,,1
7544,眥,,1
7545,粺,,1
7546,缊,,1
7547,艈,,1
7548,蓇,,1
7549,蛣,,1
7550,蹾,,1
7551,掎,drag,1
7552,哜,sip,1
7553,鄦,,1
7554,陞,,1
7555,韰,,1
7556,飖,,1
7557,镲,,1
7558,麃,,1
7559,禑,,1
7560,筰,,1
7561,聠,,1
7562,茷,,1
7563,螀,,1
7564,袞,,1
7565,褧,,1
7566,賮,,1
7567,赗,,1
7568,踡,,1
7569,揞,,1
7570,遝,,1
7571,酂,,1
7572,酇,,1
7573,醜,,1
7574,檑,logs rolled down in defense of city,1
7575,雮,,1
7576,氍,woolen rug,1
7577,腙,,1
7578,飩,,1
7579,痖,,1
7580,髣,,1
7581,髳,,1
7582,酎,strong wine,1
7583,鲒,oyster,1
7584,鲪,,1
7585,鹯,,1
7586,麜,,1
7587,齸,,1
7588,齻,,1
7589,粩,,1
7590,詣,,1
7591,隄,,1
7592,簰,,1
7593,蒾,,1
7594,蓏,,1
7595,薳,,1
7596,藛,,1
7597,蚢,,1
7598,蓠,Gracilaria confervoides,1
7599,蓰,(grass)/increase five fold,1
7600,遡,,1
7601,郋,,1
7602,鄜,,1
7603,錞,,1
7604,靣,,1
7605,鸂,,1
7606,麐,,1
7607,麚,,1
7608,齧,,1
7609,,,1
7610,睊,,1
7611,砢,,1
7612,碻,,1
7613,絃,,1
7614,茝,,1
7615,菴,,1
7616,袥,,1
7617,襍,,1
7618,覗,,1
7619,詩,,1
7620,諥,,1
7621,跂,,1
7622,辵,,1
7623,邅,,1
7624,醨,,1
7625,頍,,1
7626,疰,,1
7627,觜,"(zodiacal sign), mouth",1
7628,鴿,,1
7629,笭,,1
7630,糷,,1
7631,纘,,1
7632,翉,,1
7633,胵,,1
7634,芖,,1
7635,蔣,,1
7636,蔦,,1
7637,蛚,,1
7638,蛯,,1
7639,蜏,,1
7640,讞,,1
7641,賲,,1
7642,钃,,1
7643,餈,,1
7644,馧,,1
7645,麤,,1
7646,鼶,,1
7647,禱,,1
7648,臓,,1
7649,鈍,,1
7650,錫,,1
7651,紛,,1
7652,遙,,1
7653,螣,,1
7654,铽,terbium,1
7655,竝,,1
7656,粊,,1
7657,紗,,1
7658,紮,,1
7659,絺,,1
7660,絿,,1
7661,緯,,1
7662,脦,,1
7663,臇,,1
7664,臋,,1
7665,葍,,1
7666,葞,,1
7667,葯,,1
7668,葻,,1
7669,藙,,1
7670,蜔,,1
7671,螕,,1
7672,蟻,,1
7673,襲,,1
7674,觼,,1
7675,觿,,1
7676,詼,,1
7677,諝,,1
7678,貨,,1
7679,賀,,1
7680,趧,,1
7681,跉,,1
7682,躍,,1
7683,軒,,1
7684,輪,,1
7685,邉,,1
7686,鄶,,1
7687,酁,,1
7688,釀,,1
7689,鈾,,1
7690,鈿,,1
7691,鍊,,1
7692,闀,,1
7693,闄,,1
7694,腽,castor,1
7695,霧,,1
7696,韌,,1
7697,頎,,1
7698,額,,1
7699,顫,,1
7700,顬,,1
7701,髿,,1
7702,鴣,,1
7703,鶝,,1
7704,鷣,,1
7705,齋,,1
7706,鋊,,1
7707,隤,,1
7708,艦,,1
7709,譟,,1
7710,蒉,(surname)/Amaranthus mangostanus,1
7711,磜,,1
7712,綼,,1
7713,輋,,1
7714,頨,,1
7715,閗,,1
7716,鮍,,1
7717,鯡,,1
7718,鲹,,1
7719,禣,,1
7720,粏,,1
7721,綿,,1
7722,臐,,1
7723,迏,,1
7724,鋾,,1
7725,鐇,,1
7726,铻,,1
7727,鮼,,1
7728,鼈,,1
7729,込,,1
7730,篰,,1
7731,痄,mumps,1
7732,睄,,1
7733,磡,,1
7734,窔,,1
7735,筊,,1
7736,羺,,1
7737,腪,,1
7738,臢,,1
7739,荄,,1
7740,蓡,,1
7741,蝀,,1
7742,詥,,1
7743,豀,,1
7744,苠,multitude/skin of bamboo,1
7745,郞,,1
7746,骒,mother horse,1
7747,戤,infringe upon a trade mark,1
7748,铞,,1
7749,耢,,1
7750,麯,,1
7751,秱,,1
7752,筼,,1
7753,綈,,1
7754,翬,,1
7755,脧,,1
7756,茣,,1
7757,菒,,1
7758,蓯,,1
7759,蕝,,1
7760,詝,,1
7761,謱,,1
7762,冁,smilingly,1
7763,踧,,1
7764,茚,,1
7765,辌,,1
7766,辒,,1
7767,郪,,1
7768,鄘,,1
7769,鄠,,1
7770,帱,"canopy/curtain, canopy",1
7771,鈇,,1
7772,缲,,1
7773,雚,,1
7774,雟,,1
7775,韺,,1
7776,頵,,1
7777,顝,,1
7778,镘,side of coin without words/trowel,1
7779,鬋,,1
7780,酾,,1
7781,鳣,,1
7782,鴦,,1
7783,麀,,1
7784,麉,,1
7785,麊,,1
7786,麣,,1
7787,藬,,1
7788,鏘,,1
7789,鞚,,1
7790,飔,,1
7791,鴃,,1
7792,齏,,1
7793,礄,,1
7794,誥,,1
7795,醲,,1
7796,毳,crisp/brittle/fine animal hair,1
7797,築,,1
7798,絫,,1
7799,脺,,1
7800,苧,,1
7801,蚘,,1
7802,蝺,,1
7803,蠶,,1
7804,裀,,1
7805,詧,,1
7806,貍,,1
7807,踘,,1
7808,蹷,,1
7809,蟓,,1
7810,盦,,1
7811,瞆,,1
7812,矰,,1
7813,磥,,1
7814,祮,,1
7815,稛,,1
7816,箾,,1
7817,翂,,1
7818,胊,,1
7819,蓺,,1
7820,薾,,1
7821,襱,,1
7822,覅,,1
7823,讏,,1
7824,跅,,1
7825,踆,,1
7826,蹔,,1
7827,軐,,1
7828,轪,,1
7829,鄤,,1
7830,醰,,1
7831,鑟,,1
7832,铔,,1
7833,閛,,1
7834,陙,,1
7835,霳,,1
7836,顑,,1
7837,镤,protoactinium,1
7838,鵲,,1
7839,竚,,1
7840,紩,,1
7841,聦,,1
7842,餅,,1
7843,鶄,,1
7844,競,,1
7845,簷,,1
7846,糵,,1
7847,紖,,1
7848,訪,,1
7849,豎,,1
7850,趦,,1
7851,隸,,1
7852,禠,,1
7853,籓,,1
7854,镥,,1
7855,盜,,1
7856,矝,,1
7857,笖,,1
7858,笧,,1
7859,簢,,1
7860,簻,,1
7861,籌,,1
7862,粍,,1
7863,綍,,1
7864,縕,,1
7865,罋,,1
7866,罷,,1
7867,翜,,1
7868,膰,,1
7869,膲,,1
7870,菂,,1
7871,葦,,1
7872,薢,,1
7873,藷,,1
7874,螞,,1
7875,蠻,,1
7876,袀,,1
7877,袐,,1
7878,覍,,1
7879,訌,,1
7880,訛,,1
7881,詿,,1
7882,諄,,1
7883,譜,,1
7884,豈,,1
7885,賢,,1
7886,賹,,1
7887,遷,,1
7888,釛,,1
7889,鈣,,1
7890,鈱,,1
7891,鈶,,1
7892,鍛,,1
7893,鍦,,1
7894,鐵,,1
7895,閯,,1
7896,閺,,1
7897,閻,,1
7898,隂,,1
7899,頌,,1
7900,頰,,1
7901,顆,,1
7902,顪,,1
7903,飼,,1
7904,駕,,1
7905,駝,,1
7906,驌,,1
7907,驘,,1
7908,鰠,,1
7909,鰹,,1
7910,鲗,,1
7911,鶒,,1
7912,鶗,,1
7913,鷥,,1
7914,鷹,,1
7915,齊,,1
7916,硙,,1
7917,禜,,1
7918,糢,,1
7919,藠,,1
7920,镦,upsetting (forged pieces),1
7921,蕂,,1
7922,霮,,1
7923,沩,,1
7924,颼,,1
7925,禬,,1
7926,鴪,,1
7927,鮨,,1
7928,鱣,,1
7929,盝,,1
7930,眹,,1
7931,睖,,1
7932,磫,,1
7933,禫,,1
7934,繨,,1
7935,薦,,1
7936,褱,,1
7937,鏏,,1
7938,鮁,,1
7939,鹓,,1
7940,繟,,1
7941,繺,,1
7942,沲,,1
7943,餦,,1
7944,篤,,1
7945,踺,,1
7946,祦,,1
7947,篲,,1
7948,糰,,1
7949,絙,,1
7950,纄,,1
7951,脝,,1
7952,茊,,1
7953,菫,,1
7954,蓞,,1
7955,酦,,1
7956,醾,,1
7957,锳,,1
7958,钶,columbium,1
7959,鲼,,1
7960,齄,,1
7961,鴨,,1
7962,鷧,,1
7963,,,1
7964,祋,,1
7965,箯,,1
7966,粐,,1
7967,粦,,1
7968,粭,,1
7969,紃,,1
7970,脰,,1
7971,芃,,1
7972,苽,,1
7973,莿,,1
7974,菆,,1
7975,藗,,1
7976,藧,,1
7977,袵,,1
7978,裯,,1
7979,褵,,1
7980,襆,,1
7981,詤,,1
7982,譓,,1
7983,跊,,1
7984,軈,,1
7985,苘,,1
7986,迺,,1
7987,掭,,1
7988,邇,,1
7989,邘,,1
7990,鄳,,1
7991,猸,,1
7992,艴,angry,1
7993,鑕,,1
7994,柃,Eurya japonica,1
7995,闒,,1
7996,毹,rug,1
7997,脶,,1
7998,颋,,1
7999,鵀,,1
8000,鶜,,1
8001,鶟,,1
8002,鷱,,1
8003,鷲,,1
8004,鹍,,1
8005,麖,,1
8006,,,1
8007,軎,,1
8008,稂,grass/weeds,1
8009,蒞,,1
8010,蠆,,1
8011,褲,,1
8012,佧,ancient name for a minority group in China,1
8013,紵,,1
8014,緌,,1
8015,蠾,,1
8016,裲,,1
8017,郈,,1
8018,鋐,,1
8019,餱,,1
8020,瓞,young melon,1
8021,驙,,1
8022,鯙,,1
8023,眆,,1
8024,睠,,1
8025,瞫,,1
8026,矅,,1
8027,碃,,1
8028,禃,,1
8029,秔,,1
8030,穻,,1
8031,箇,,1
8032,籐,,1
8033,絏,,1
8034,纕,,1
8035,翐,,1
8036,耈,,1
8037,耎,,1
8038,脷,,1
8039,膕,,1
8040,艐,,1
8041,艷,,1
8042,苙,,1
8043,葹,,1
8044,蓂,,1
8045,蔲,,1
8046,薋,,1
8047,蛷,,1
8048,蜑,,1
8049,衂,,1
8050,衋,,1
8051,袿,,1
8052,訕,,1
8053,訝,,1
8054,詠,,1
8055,誳,,1
8056,諆,,1
8057,讱,,1
8058,軃,,1
8059,轝,,1
8060,郀,,1
8061,郵,,1
8062,鉐,,1
8063,鍧,,1
8064,鍼,,1
8065,鏦,,1
8066,镵,,1
8067,閭,,1
8068,闢,,1
8069,陗,,1
8070,陼,,1
8071,韈,,1
8072,骫,,1
8073,骳,,1
8074,骹,,1
8075,髠,,1
8076,髥,,1
8077,鳒,,1
8078,鶡,,1
8079,龒,,1
8080,籂,,1
8081,翯,,1
8082,莚,,1
8083,萗,,1
8084,転,,1
8085,鄷,,1
8086,靭,,1
8087,馉,,1
8088,騙,,1
8089,驊,,1
8090,鼰,,1
8091,綑,,1
8092,績,,1
8093,臘,,1
8094,臛,,1
8095,賜,,1
8096,贈,,1
8097,蹣,,1
8098,軡,,1
8099,鋸,,1
8100,錐,,1
8101,顎,,1
8102,瞐,,1
8103,銶,,1
8104,钖,,1
8105,矊,,1
8106,矘,,1
8107,矚,,1
8108,矡,,1
8109,硽,,1
8110,磿,,1
8111,礈,,1
8112,礜,,1
8113,秲,,1
8114,窮,,1
8115,竄,,1
8116,笗,,1
8117,箘,,1
8118,箽,,1
8119,簍,,1
8120,簜,,1
8121,粷,,1
8122,絨,,1
8123,絹,,1
8124,緷,,1
8125,緻,,1
8126,繉,,1
8127,繙,,1
8128,罁,,1
8129,羅,,1
8130,羇,,1
8131,聣,,1
8132,聰,,1
8133,脙,,1
8134,脛,,1
8135,脻,,1
8136,脼,,1
8137,腗,,1
8138,艜,,1
8139,萊,,1
8140,葘,,1
8141,葢,,1
8142,蔥,,1
8143,藍,,1
8144,藘,,1
8145,藝,,1
8146,蘿,,1
8147,蛬,,1
8148,螁,,1
8149,螚,,1
8150,螤,,1
8151,袇,,1
8152,袌,,1
8153,袔,,1
8154,袦,,1
8155,袨,,1
8156,覂,,1
8157,訃,,1
8158,訋,,1
8159,詫,,1
8160,詬,,1
8161,詮,,1
8162,詻,,1
8163,誠,,1
8164,謬,,1
8165,譃,,1
8166,譄,,1
8167,譯,,1
8168,譽,,1
8169,賰,,1
8170,趮,,1
8171,蹱,,1
8172,軙,,1
8173,軠,,1
8174,輩,,1
8175,辭,,1
8176,遜,,1
8177,鄧,,1
8178,鄫,,1
8179,鄿,,1
8180,酀,,1
8181,釡,,1
8182,釢,,1
8183,鉃,,1
8184,鍍,,1
8185,鍎,,1
8186,鎖,,1
8187,闃,,1
8188,鞗,,1
8189,韱,,1
8190,頹,,1
8191,願,,1
8192,顳,,1
8193,餁,,1
8194,餃,,1
8195,餵,,1
8196,馮,,1
8197,馳,,1
8198,駛,,1
8199,騎,,1
8200,騺,,1
8201,鯚,,1
8202,鰟,,1
8203,鱉,,1
8204,鳛,,1
8205,鴟,,1
8206,鴮,,1
8207,鴲,,1
8208,鴷,,1
8209,鷷,,1
8210,鸀,,1
8211,麎,,1
8212,麡,,1
8213,麧,,1
8214,鼇,,1
8215,鼞,,1
8216,鼤,,1
8217,齺,,1
8218,齽,,1
8219,龑,,1
8220,裏,,1
8221,,,1
8222,,,1
8223,砮,,1
8224,綟,,1
8225,緜,,1
8226,繑,,1
8227,纑,,1
8228,罈,,1
8229,蠙,,1
8230,輴,,1
8231,酨,,1
8232,鏂,,1
8233,駹,,1
8234,鎪,,1
8235,瞕,,1
8236,窪,,1
8237,肻,,1
8238,蠔,,1
8239,鐰,,1
8240,綵,,1
8241,鮰,,1
8242,鳾,,1
8243,虰,,1
8244,驎,,1
8245,荬,,1
8246,鑛,,1
8247,犏,,1
8248,鞧,,1
8249,鮋,,1
8250,鰷,,1
8251,鶲,,1
8252,盕,,1
8253,盩,,1
8254,盻,,1
8255,眖,,1
8256,砛,,1
8257,硈,,1
8258,禢,,1
8259,禥,,1
8260,窼,,1
8261,竏,,1
8262,筈,,1
8263,筽,,1
8264,篴,,1
8265,籆,,1
8266,籇,,1
8267,紏,,1
8268,肣,,1
8269,胑,,1
8270,臮,,1
8271,苲,,1
8272,蒃,,1
8273,虗,,1
8274,蜌,,1
8275,跘,,1
8276,鞦,,1
8277,驄,,1
8278,鷭,,1
8279,鸼,,1
8280,鹐,,1
8281,矄,,1
8282,魖,,1
8283,鴐,,1
8284,薀,,1
8285,謏,,1
8286,脎,,1
8287,締,,1
8288,聧,,1
8289,脜,,1
8290,艤,,1
8291,荖,,1
8292,蕌,,1
8293,蠷,,1
8294,褏,,1
8295,觽,,1
8296,踫,,1
8297,蹽,,1
8298,軉,,1
8299,軛,,1
8300,墚,,1
8301,搌,bind/wipe,1
8302,擗,,1
8303,哳,,1
8304,鋻,,1
8305,楗,door lock,1
8306,韂,,1
8307,飆,,1
8308,饏,,1
8309,耥,,1
8310,髼,,1
8311,篼,,1
8312,鬑,,1
8313,醑,spiritus/strain spirits,1
8314,鴧,,1
8315,眜,,1
8316,瞷,,1
8317,磦,,1
8318,礨,,1
8319,祃,,1
8320,祲,,1
8321,祻,,1
8322,窊,,1
8323,簥,,1
8324,籲,,1
8325,縢,,1
8326,繌,,1
8327,繒,,1
8328,聜,,1
8329,胔,,1
8330,胾,,1
8331,脨,,1
8332,膼,,1
8333,艕,,1
8334,苼,,1
8335,莻,,1
8336,蓨,,1
8337,蓵,,1
8338,蓾,,1
8339,藦,,1
8340,虀,,1
8341,蚈,,1
8342,蛡,,1
8343,蛻,,1
8344,蝝,,1
8345,蝹,,1
8346,蟿,,1
8347,衼,,1
8348,褦,,1
8349,襶,,1
8350,覐,,1
8351,詯,,1
8352,誴,,1
8353,諓,,1
8354,謧,,1
8355,謪,,1
8356,譁,,1
8357,貤,,1
8358,赪,,1
8359,踖,,1
8360,軆,,1
8361,輈,,1
8362,鄛,,1
8363,鄡,,1
8364,醖,,1
8365,屺,hill without trees,1
8366,鍑,,1
8367,鏉,,1
8368,雊,,1
8369,顓,,1
8370,飐,,1
8371,稆,,1
8372,駳,,1
8373,騽,,1
8374,骍,,1
8375,筻,,1
8376,魱,,1
8377,舣,moor a boat to the bank,1
8378,鮾,,1
8379,鯋,,1
8380,鯏,,1
8381,鶃,,1
8382,鶫,,1
8383,齛,,1
8384,矙,,1
8385,絾,,1
8386,袗,,1
8387,襬,,1
8388,漤,,1
8389,闕,,1
8390,鬐,,1
8391,鲾,,1
8392,鴾,,1
8393,稭,,1
8394,籄,,1
8395,聺,,1
8396,褹,,1
8397,訟,,1
8398,鏕,,1
8399,齆,,1
8400,盫,,1
8401,矎,,1
8402,礋,,1
8403,窌,,1
8404,簼,,1
8405,糴,,1
8406,纴,,1
8407,罵,,1
8408,翚,,1
8409,耰,,1
8410,艧,,1
8411,藇,,1
8412,虖,,1
8413,蚖,,1
8414,蜎,,1
8415,蜨,,1
8416,蠭,,1
8417,詟,,1
8418,詵,,1
8419,譔,,1
8420,豭,,1
8421,趙,,1
8422,趬,,1
8423,阢,,1
8424,圊,pigsty/rest-room,1
8425,醃,,1
8426,録,,1
8427,鍮,,1
8428,鍸,,1
8429,闚,,1
8430,阤,,1
8431,霫,,1
8432,鞎,,1
8433,韗,,1
8434,鬖,,1
8435,鳠,,1
8436,鴼,,1
8437,鷇,,1
8438,黇,,1
8439,黡,,1
8440,齣,,1
8441,盞,,1
8442,眅,,1
8443,磈,,1
8444,磳,,1
8445,穫,,1
8446,窅,,1
8447,窾,,1
8448,筭,,1
8449,箣,,1
8450,簃,,1
8451,簺,,1
8452,粴,,1
8453,糦,,1
8454,絟,,1
8455,緺,,1
8456,縩,,1
8457,罍,,1
8458,翣,,1
8459,聟,,1
8460,肊,,1
8461,肙,,1
8462,肞,,1
8463,臞,,1
8464,苶,,1
8465,菭,,1
8466,葖,,1
8467,蕳,,1
8468,蚒,,1
8469,蜪,,1
8470,蝕,,1
8471,蠜,,1
8472,袕,,1
8473,裋,,1
8474,裩,,1
8475,褌,,1
8476,褎,,1
8477,襫,,1
8478,覈,,1
8479,觭,,1
8480,訆,,1
8481,訏,,1
8482,訽,,1
8483,詨,,1
8484,譻,,1
8485,诇,,1
8486,貑,,1
8487,跱,,1
8488,坶,,1
8489,躘,,1
8490,輖,,1
8491,轇,,1
8492,轋,,1
8493,轕,,1
8494,迒,,1
8495,郘,,1
8496,醄,,1
8497,醼,,1
8498,鋋,,1
8499,鏁,,1
8500,鏭,,1
8501,鐄,,1
8502,鑣,,1
8503,鑷,,1
8504,辁,small/wheel without spokes,1
8505,阸,,1
8506,牿,shed or pen for cattle,1
8507,鞝,,1
8508,頞,,1
8509,瞵,,1
8510,饤,,1
8511,駃,,1
8512,駉,,1
8513,騠,,1
8514,驡,,1
8515,髪,,1
8516,鬚,,1
8517,鬿,,1
8518,鮌,,1
8519,鯁,,1
8520,鱻,,1
8521,鶚,,1
8522,鷫,,1
8523,鹖,,1
8524,磩,,1
8525,磭,,1
8526,稌,,1
8527,穃,,1
8528,綂,,1
8529,膥,,1
8530,膱,,1
8531,臿,,1
8532,艎,,1
8533,苃,,1
8534,茍,,1
8535,蒟,,1
8536,藣,,1
8537,虈,,1
8538,蜐,,1
8539,訅,,1
8540,詭,,1
8541,讈,,1
8542,貿,,1
8543,趷,,1
8544,蹌,,1
8545,蹹,,1
8546,鈰,,1
8547,銑,,1
8548,鋫,,1
8549,鍔,,1
8550,鐨,,1
8551,餉,,1
8552,騛,,1
8553,鯛,,1
8554,鰤,,1
8555,鳳,,1
8556,鵂,,1
8557,鶢,,1
8558,鶳,,1
8559,黋,,1
8560,齢,,1
8561,磚,,1
8562,緲,,1
8563,繳,,1
8564,聝,,1
8565,膴,,1
8566,芵,,1
8567,藫,,1
8568,覓,,1
8569,誕,,1
8570,誡,,1
8571,貎,,1
8572,賄,,1
8573,跰,,1
8574,踥,,1
8575,迆,,1
8576,逕,,1
8577,逤,,1
8578,鏢,,1
8579,鏤,,1
8580,鑄,,1
8581,鑽,,1
8582,頷,,1
8583,鴉,,1
8584,鴰,,1
8585,麅,,1
8586,礱,,1
8587,祿,,1
8588,缷,,1
8589,虙,,1
8590,齗,,1
8591,裓,,1
8592,铹,lawrencium,1
8593,睙,,1
8594,矟,,1
8595,硣,,1
8596,磹,,1
8597,礀,,1
8598,禮,,1
8599,秶,,1
8600,窇,,1
8601,竷,,1
8602,笣,,1
8603,篃,,1
8604,簬,,1
8605,簯,,1
8606,粓,,1
8607,粶,,1
8608,紋,,1
8609,紓,,1
8610,絞,,1
8611,緹,,1
8612,縷,,1
8613,縼,,1
8614,繆,,1
8615,繕,,1
8616,繚,,1
8617,繞,,1
8618,绤,,1
8619,罆,,1
8620,羈,,1
8621,翆,,1
8622,翑,,1
8623,聵,,1
8624,脵,,1
8625,臄,,1
8626,茽,,1
8627,莊,,1
8628,莢,,1
8629,莵,,1
8630,菕,,1
8631,蓛,,1
8632,蓷,,1
8633,蓸,,1
8634,蔘,,1
8635,蔞,,1
8636,蕘,,1
8637,蕼,,1
8638,薔,,1
8639,藖,,1
8640,藢,,1
8641,藶,,1
8642,蛢,,1
8643,蟯,,1
8644,蠄,,1
8645,蠈,,1
8646,蠎,,1
8647,蠣,,1
8648,襪,,1
8649,覙,,1
8650,訑,,1
8651,訣,,1
8652,詰,,1
8653,詸,,1
8654,誰,,1
8655,諏,,1
8656,諛,,1
8657,諮,,1
8658,諱,,1
8659,謥,,1
8660,謨,,1
8661,譫,,1
8662,貋,,1
8663,貛,,1
8664,貫,,1
8665,賓,,1
8666,賞,,1
8667,贁,,1
8668,贂,,1
8669,贉,,1
8670,趤,,1
8671,趯,,1
8672,趶,,1
8673,跔,,1
8674,踴,,1
8675,蹆,,1
8676,塥,dry clay lump,1
8677,輝,,1
8678,輰,,1
8679,輿,,1
8680,轂,,1
8681,邁,,1
8682,邼,,1
8683,釟,,1
8684,釠,,1
8685,釣,,1
8686,鈉,,1
8687,鈴,,1
8688,鈺,,1
8689,鉂,,1
8690,銊,,1
8691,銘,,1
8692,鋤,,1
8693,鋭,,1
8694,錃,,1
8695,錈,,1
8696,漭,vast/expansive (of water),1
8697,錨,,1
8698,鍤,,1
8699,鏆,,1
8700,鐖,,1
8701,鐧,,1
8702,鐳,,1
8703,鑱,,1
8704,鑾,,1
8705,镃,,1
8706,閬,,1
8707,閾,,1
8708,閿,,1
8709,陜,,1
8710,陝,,1
8711,霠,,1
8712,鞏,,1
8713,鞖,,1
8714,韨,,1
8715,韼,,1
8716,韽,,1
8717,頒,,1
8718,頤,,1
8719,顛,,1
8720,飳,,1
8721,飸,,1
8722,餆,,1
8723,館,,1
8724,饅,,1
8725,駐,,1
8726,駡,,1
8727,駷,,1
8728,騁,,1
8729,騫,,1
8730,騷,,1
8731,騼,,1
8732,髕,,1
8733,魜,,1
8734,鰫,,1
8735,鱗,,1
8736,鱽,,1
8737,鲬,,1
8738,鴻,,1
8739,鶆,,1
8740,鶊,,1
8741,鷳,,1
8742,鷿,,1
8743,鸁,,1
8744,麞,,1
8745,鼏,,1
8746,鼜,,1
8747,鼫,,1
8748,齦,,1
8749,,,1
8750,,,1
8751,,,1
8752,,,1
8753,,,1
8754,盬,,1
8755,祅,,1
8756,禡,,1
8757,禭,,1
8758,糱,,1
8759,縂,,1
8760,蠥,,1
8761,軷,,1
8762,鄮,,1
8763,釱,,1
8764,銦,,1
8765,錣,,1
8766,鑢,,1
8767,钑,,1
8768,饟,,1
8769,鯅,,1
8770,鼊,,1
8771,,,1
8772,簫,,1
8773,粛,,1
8774,粻,,1
8775,饈,,1
8776,盌,,1
8777,瞂,,1
8778,鋅,,1
8779,靮,,1
8780,盨,,1
8781,県,,1
8782,箥,,1
8783,簕,,1
8784,臖,,1
8785,鎔,,1
8786,鏐,,1
8787,顔,,1
8788,盿,,1
8789,萵,,1
8790,蔊,,1
8791,覥,,1
8792,貲,,1
8793,驢,,1
8794,鶸,,1
8795,磑,,1
8796,窎,,1
8797,詒,,1
8798,鉔,,1
8799,鏱,,1
8800,隺,,1
8801,饜,,1
8802,荘,,1
8803,蒻,,1
8804,蔴,,1
8805,裛,,1
8806,鈙,,1
8807,鎋,,1
8808,鑀,,1
8809,髴,,1
8810,鴓,,1
8811,鸴,,1
8812,黿,,1
8813,秹,,1
8814,茢,,1
8815,蘁,,1
8816,蚑,,1
8817,鏻,,1
8818,霤,,1
8819,霩,,1
8820,頺,,1
8821,餚,,1
8822,鯂,,1
8823,籔,,1
8824,蕁,,1
8825,蘘,,1
8826,雑,,1
8827,鬶,,1
8828,鯵,,1
8829,鰧,,1
8830,鱂,,1
8831,鳂,,1
8832,鵟,,1
8833,盠,,1
8834,盳,,1
8835,盽,,1
8836,眃,,1
8837,眏,,1
8838,睧,,1
8839,硄,,1
8840,碔,,1
8841,碦,,1
8842,碸,,1
8843,磃,,1
8844,礘,,1
8845,礮,,1
8846,祘,,1
8847,禤,,1
8848,秌,,1
8849,秙,,1
8850,秢,,1
8851,稧,,1
8852,稬,,1
8853,稲,,1
8854,稸,,1
8855,穜,,1
8856,竒,,1
8857,筶,,1
8858,篬,,1
8859,籒,,1
8860,籜,,1
8861,籞,,1
8862,籶,,1
8863,糂,,1
8864,糉,,1
8865,綡,,1
8866,綶,,1
8867,緄,,1
8868,緗,,1
8869,緼,,1
8870,縁,,1
8871,縋,,1
8872,縞,,1
8873,繤,,1
8874,繧,,1
8875,繬,,1
8876,纃,,1
8877,纉,,1
8878,纒,,1
8879,纗,,1
8880,罯,,1
8881,羀,,1
8882,耴,,1
8883,肍,,1
8884,腨,,1
8885,膗,,1
8886,膟,,1
8887,舦,,1
8888,艊,,1
8889,菄,,1
8890,葾,,1
8891,蒕,,1
8892,蒘,,1
8893,蒧,,1
8894,蓃,,1
8895,蓆,,1
8896,蔱,,1
8897,蘔,,1
8898,蟨,,1
8899,蠪,,1
8900,襖,,1
8901,誇,,1
8902,謟,,1
8903,讙,,1
8904,谽,,1
8905,踨,,1
8906,躉,,1
8907,躱,,1
8908,輗,,1
8909,釔,,1
8910,鋕,,1
8911,鎚,,1
8912,韆,,1
8913,鯶,,1
8914,鳋,,1
8915,鹒,,1
8916,篭,,1
8917,縜,,1
8918,腣,,1
8919,赲,,1
8920,馻,,1
8921,磞,,1
8922,睕,,1
8923,瞜,,1
8924,碠,,1
8925,磽,,1
8926,簘,,1
8927,腃,,1
8928,腵,,1
8929,蓳,,1
8930,覇,,1
8931,醱,,1
8932,銝,,1
8933,巛,,1
8934,鐴,,1
8935,鑵,,1
8936,隩,,1
8937,颺,,1
8938,飮,,1
8939,飰,,1
8940,餇,,1
8941,饐,,1
8942,痃,,1
8943,駞,,1
8944,鴜,,1
8945,,,1
8946,,,1
8947,睅,,1
8948,睍,,1
8949,碭,,1
8950,碽,,1
8951,磸,,1
